N,collisions,load factor
8960000,280,0.007764285714285714
9030000,281,0.007704097452934662
9100000,280,0.007644835164835165
9170000,275,0.007586477644492912
9240000,293,0.007529004329004329
9310000,271,0.007472395273899033
9380000,271,0.007416631130063966
9450000,256,0.007361693121693122
9520000,238,0.0073075630252100844
9590000,264,0.00725422314911366
9660000,277,0.007201656314699793
9730000,248,0.007149845837615622
9800000,244,0.007098775510204082
9870000,281,0.0070484295845997975
9940000,253,0.006998792756539235
10010000,248,0.00694985014985015
10080000,270,0.006901587301587302
10150000,225,0.006853990147783251
10220000,245,0.006807045009784736
10290000,256,0.006760738581146744
10360000,226,0.006715057915057915
10430000,245,0.006669990412272292
10500000,247,0.0066255238095238094
10570000,266,0.006581646168401135
10640000,237,0.006538345864661654
10710000,246,0.006495611577964519
10780000,221,0.006453432282003711
10850000,225,0.006411797235023041
10920000,235,0.006370695970695971
10990000,221,0.006330118289353958
11060000,217,0.00629005424954792
11130000,191,0.0062504941599281225
11200000,246,0.006211428571428572
11270000,229,0.0061728482697426795
11340000,225,0.006134744268077601
11410000,189,0.006097107800175285
11480000,237,0.00605993031358885
11550000,208,0.006023203463203463
11620000,238,0.005986919104991394
11690000,214,0.005951069289991446
11760000,235,0.005915646258503401
11830000,224,0.0058806424344885885
11900000,203,0.005846050420168067
11970000,229,0.005811862990810359
12040000,259,0.0057780730897009965
12110000,204,0.00574467382328654
12180000,203,0.005711658456486043
12250000,188,0.005679020408163265
12320000,197,0.005646753246753246
12390000,224,0.005614850686037127
12460000,210,0.00558330658105939
12530000,204,0.005552114924181963
12600000,192,0.005521269841269842
12670000,207,0.005490765588003157
12740000,214,0.005460596546310832
12810000,196,0.005430757220921155
12880000,190,0.005401242236024844
12950000,175,0.005372046332046332
13020000,209,0.005343164362519201
13090000,203,0.005314591291061879
13160000,188,0.005286322188449848
13230000,190,0.005258352229780801
13300000,185,0.005230676691729323
13370000,188,0.005203290949887808
13440000,188,0.005176190476190477
13510000,196,0.005149370836417469
13580000,196,0.0051228276877761415
13650000,178,0.005096556776556777
13720000,198,0.005070553935860058
13790000,200,0.0050448150833937635
13860000,179,0.0050193362193362194
13930000,186,0.004994113424264178
14000000,163,0.004969142857142857
14070000,191,0.004944420753375978
14140000,177,0.00491994342291372
14210000,181,0.004895707248416608
14280000,163,0.00487170868347339
14350000,168,0.00484794425087108
14420000,171,0.004824410540915395
14490000,184,0.004801104209799862
14560000,172,0.004778021978021978
14630000,202,0.0047551606288448395
14700000,167,0.004732517006802721
14770000,179,0.004710088016249153
14840000,139,0.004687870619946091
14910000,168,0.004665861837692823
14980000,173,0.004644058744993324
15050000,176,0.004622458471760797
15120000,158,0.004601058201058201
15190000,188,0.004579855167873601
15260000,187,0.004558846657929227
15330000,183,0.004538030006523157
15400000,177,0.004517402597402597
15470000,169,0.004496961861667744
15540000,160,0.004476705276705277
15610000,168,0.004456630365150545
15680000,165,0.004436734693877551
15750000,156,0.004417015873015873
15820000,177,0.004397471554993679
15890000,158,0.004378099433606042
15960000,161,0.00435889724310777
16030000,147,0.004339862757330006
16100000,154,0.004320993788819876
16170000,177,0.004302288188002473
16240000,145,0.004283743842364532
16310000,175,0.0042653586756591045
16380000,146,0.004247130647130647
16450000,180,0.004229057750759878
16520000,179,0.004211138014527845
16590000,152,0.004193369499698614
16660000,122,0.004175750300120048
16730000,157,0.00415827854154214
16800000,150,0.004140952380952381
16870000,145,0.0041237700059276825
16940000,154,0.004106729634002361
17010000,142,0.004089829512051734
17080000,170,0.0040730679156908665
17150000,153,0.004056443148688047
17220000,160,0.004039953542392566
17290000,164,0.004023597455176403
17360000,154,0.004007373271889401
17430000,151,0.0039912794033275965
17500000,152,0.003975314285714285
17570000,139,0.003959476380193512
17640000,166,0.003943764172335601
17710000,150,0.003928176171654432
