N,collisions,load factor
8680000,312,0.008014746543778801
8750000,312,0.00795062857142857
8820000,278,0.007887528344671203
8890000,282,0.007825421822272216
8960000,300,0.007764285714285714
9030000,270,0.007704097452934662
9100000,268,0.007644835164835165
9170000,271,0.007586477644492912
9240000,310,0.007529004329004329
9310000,266,0.007472395273899033
9380000,263,0.007416631130063966
9450000,267,0.007361693121693122
9520000,268,0.0073075630252100844
9590000,277,0.00725422314911366
9660000,280,0.007201656314699793
9730000,251,0.007149845837615622
9800000,254,0.007098775510204082
9870000,248,0.0070484295845997975
9940000,284,0.006998792756539235
10010000,243,0.00694985014985015
10080000,239,0.006901587301587302
10150000,261,0.006853990147783251
10220000,223,0.006807045009784736
10290000,236,0.006760738581146744
10360000,263,0.006715057915057915
10430000,249,0.006669990412272292
10500000,242,0.0066255238095238094
10570000,229,0.006581646168401135
10640000,252,0.006538345864661654
10710000,239,0.006495611577964519
10780000,228,0.006453432282003711
10850000,250,0.006411797235023041
10920000,234,0.006370695970695971
10990000,224,0.006330118289353958
11060000,206,0.00629005424954792
11130000,236,0.0062504941599281225
11200000,213,0.006211428571428572
11270000,229,0.0061728482697426795
11340000,216,0.006134744268077601
11410000,233,0.006097107800175285
11480000,236,0.00605993031358885
11550000,232,0.006023203463203463
11620000,191,0.005986919104991394
11690000,213,0.005951069289991446
11760000,225,0.005915646258503401
11830000,218,0.0058806424344885885
11900000,216,0.005846050420168067
11970000,210,0.005811862990810359
12040000,207,0.0057780730897009965
12110000,186,0.00574467382328654
12180000,199,0.005711658456486043
12250000,223,0.005679020408163265
12320000,189,0.005646753246753246
12390000,232,0.005614850686037127
12460000,207,0.00558330658105939
12530000,183,0.005552114924181963
12600000,200,0.005521269841269842
12670000,195,0.005490765588003157
12740000,195,0.005460596546310832
12810000,233,0.005430757220921155
12880000,223,0.005401242236024844
12950000,187,0.005372046332046332
13020000,214,0.005343164362519201
13090000,174,0.005314591291061879
13160000,205,0.005286322188449848
13230000,185,0.005258352229780801
13300000,206,0.005230676691729323
13370000,185,0.005203290949887808
13440000,202,0.005176190476190477
13510000,220,0.005149370836417469
13580000,193,0.0051228276877761415
13650000,203,0.005096556776556777
13720000,167,0.005070553935860058
13790000,193,0.0050448150833937635
13860000,187,0.0050193362193362194
13930000,154,0.004994113424264178
14000000,171,0.004969142857142857
14070000,186,0.004944420753375978
14140000,191,0.00491994342291372
14210000,208,0.004895707248416608
14280000,184,0.00487170868347339
14350000,180,0.00484794425087108
14420000,202,0.004824410540915395
14490000,175,0.004801104209799862
14560000,159,0.004778021978021978
14630000,184,0.0047551606288448395
14700000,164,0.004732517006802721
14770000,170,0.004710088016249153
14840000,177,0.004687870619946091
14910000,174,0.004665861837692823
